system:index,cloud_percentage,date_yyyymmdd,ee_image_id,hydrological_year,image_date,image_entry,mgrs_tile,spacecraft,system_index,ee_image_asset
20231005T105911_20231005T110128_T30SWG,0.006109,20231005,20231005T105911_20231005T110128_T30SWG,2023-2024,2023-10-05,2023-10-05 | 20231005T105911_20231005T110128_T30SWG,30SWG,Sentinel-2A,20231005T105911_20231005T110128_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231005T105911_20231005T110128_T30SWG
20231005T105911_20231005T110128_T30SWF,2.116021,20231005,20231005T105911_20231005T110128_T30SWF,2023-2024,2023-10-05,2023-10-05 | 20231005T105911_20231005T110128_T30SWF,30SWF,Sentinel-2A,20231005T105911_20231005T110128_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231005T105911_20231005T110128_T30SWF
20231007T104829_20231007T105344_T30SXG,5.543694,20231007,20231007T104829_20231007T105344_T30SXG,2023-2024,2023-10-07,2023-10-07 | 20231007T104829_20231007T105344_T30SXG,30SXG,Sentinel-2B,20231007T104829_20231007T105344_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20231007T104829_20231007T105344_T30SXG
20231007T104829_20231007T105344_T30SWG,0.096627,20231007,20231007T104829_20231007T105344_T30SWG,2023-2024,2023-10-07,2023-10-07 | 20231007T104829_20231007T105344_T30SWG,30SWG,Sentinel-2B,20231007T104829_20231007T105344_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231007T104829_20231007T105344_T30SWG
20231007T104829_20231007T105344_T30SXF,7.162,20231007,20231007T104829_20231007T105344_T30SXF,2023-2024,2023-10-07,2023-10-07 | 20231007T104829_20231007T105344_T30SXF,30SXF,Sentinel-2B,20231007T104829_20231007T105344_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231007T104829_20231007T105344_T30SXF
20231007T104829_20231007T105344_T30SWF,14.166303,20231007,20231007T104829_20231007T105344_T30SWF,2023-2024,2023-10-07,2023-10-07 | 20231007T104829_20231007T105344_T30SWF,30SWF,Sentinel-2B,20231007T104829_20231007T105344_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231007T104829_20231007T105344_T30SWF
20231010T105859_20231010T110442_T30SWG,8.449551,20231010,20231010T105859_20231010T110442_T30SWG,2023-2024,2023-10-10,2023-10-10 | 20231010T105859_20231010T110442_T30SWG,30SWG,Sentinel-2B,20231010T105859_20231010T110442_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231010T105859_20231010T110442_T30SWG
20231010T105859_20231010T110442_T30SWF,14.722958,20231010,20231010T105859_20231010T110442_T30SWF,2023-2024,2023-10-10,2023-10-10 | 20231010T105859_20231010T110442_T30SWF,30SWF,Sentinel-2B,20231010T105859_20231010T110442_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231010T105859_20231010T110442_T30SWF
20231012T104951_20231012T105229_T30SXG,4.781026,20231012,20231012T104951_20231012T105229_T30SXG,2023-2024,2023-10-12,2023-10-12 | 20231012T104951_20231012T105229_T30SXG,30SXG,Sentinel-2A,20231012T104951_20231012T105229_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20231012T104951_20231012T105229_T30SXG
20231012T104951_20231012T105229_T30SWG,0.284835,20231012,20231012T104951_20231012T105229_T30SWG,2023-2024,2023-10-12,2023-10-12 | 20231012T104951_20231012T105229_T30SWG,30SWG,Sentinel-2A,20231012T104951_20231012T105229_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20231012T104951_20231012T105229_T30SWG
20231012T104951_20231012T105229_T30SXF,3.435473,20231012,20231012T104951_20231012T105229_T30SXF,2023-2024,2023-10-12,2023-10-12 | 20231012T104951_20231012T105229_T30SXF,30SXF,Sentinel-2A,20231012T104951_20231012T105229_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20231012T104951_20231012T105229_T30SXF
20231012T104951_20231012T105229_T30SWF,1.72116,20231012,20231012T104951_20231012T105229_T30SWF,2023-2024,2023-10-12,2023-10-12 | 20231012T104951_20231012T105229_T30SWF,30SWF,Sentinel-2A,20231012T104951_20231012T105229_T30SWF,COPERNICUS/S2_SR_HARMONIZED/20231012T104951_20231012T105229_T30SWF
